trajectory_id,object_id,geometric,kinematic,curvature,indentation,speed,acceleration
892,200803710055,0.9808,0.1977,0.9953,0.8895,0.2782,0.0973
893,200803710055,0.1688,0.1701,0.0654,0.1489,0.1926,0.1366
894,200803710055,0.9942,0.4548,0.9991,0.8117,0.2192,0.875
895,200804216122,0.9539,0.2445,0.9729,0.7911,0.3009,0.1232
896,200805815131,0.1544,0.1545,0.0785,0.1306,0.162,0.1281
897,200806210064,0.6325,0.0762,0.0729,0.6968,0.0118,0.1478
898,200806210064,0.9763,0.1977,0.9925,0.8609,0.2428,0.1174
899,200806512096,0.043,0.0441,0.0378,0.0264,0.0563,0.0446
900,200807912069,0.9763,0.1199,0.9823,0.5416,0.1266,0.0996
901,200807912069,0.1562,0.0805,0.0691,0.1248,0.0454,0.1152
902,200808017163,0.9324,0.1765,0.9804,0.6807,0.2231,0.083
903,200808312102,0.1428,0.1337,0.1182,0.0854,0.1205,0.1348
904,200810408128,0.1253,0.0485,0.0518,0.0962,0.0227,0.2299
905,200811106082,0.0349,0.2151,0.0434,0.106,0.0114,0.45
906,200811108096,0.0958,0.1047,0.0514,0.2428,0.021,0.2161
907,200811711090,0.7601,0.1441,0.7118,0.7084,0.1703,0.0924
908,200812807134,0.0671,0.2756,0.057,0.0237,0.4646,0.0969
909,200813512116,0.1209,0.9321,0.0859,0.0765,0.9476,0.6179
910,200814710141,0.0322,0.064,0.0518,0.1422,0.0913,0.0558
911,200814710141,0.2216,0.9996,0.0869,0.2348,0.9974,0.9982
912,200816908135,0.1303,0.1129,0.0789,0.0877,0.1249,0.1098
913,200817912252,0.2149,0.2761,0.0836,0.2326,0.1345,0.6263
914,200818014238,0.1535,0.2484,0.0817,0.1123,0.1974,0.4116
915,200818415254,0.1124,0.1125,0.0682,0.0792,0.1686,0.0196
916,200818513337,0.1965,0.251,0.0976,0.1811,0.321,0.2406
917,200818513337,0.4315,0.2172,0.8557,0.1919,0.1869,0.2388
918,200818513337,0.2077,0.9455,0.0719,0.2151,0.9463,0.792
919,200819320126,0.983,0.1523,0.9944,0.8421,0.1659,0.1112
920,200819320126,0.1441,0.1579,0.0775,0.1127,0.1467,0.1964
921,200819411266,0.2833,0.6633,0.1144,0.3569,0.3052,0.8384
922,200819810265,0.1826,0.5353,0.1028,0.14,0.0891,0.7746
923,200820132280,0.2028,0.6621,0.1088,0.1838,0.7349,0.1504
924,200820318276,0.1665,0.0017,0.0677,0.1382,0.0118,0.0054
925,200820413260,0.2489,0.6292,0.1107,0.2809,0.076,0.9469
926,200820622133,0.0242,0.1103,0.0439,0.1163,0.1039,0.1116
927,200821719120,0.15,0.0368,0.0943,0.0997,0.0432,0.0567
928,200821810224,0.1307,0.1579,0.0897,0.0859,0.0568,0.317
929,200821810224,0.2184,0.1034,0.1088,0.2165,0.1114,0.1362
930,200822012250,0.2086,0.5214,0.0929,0.2106,0.2004,0.7879
931,200822424122,0.1124,0.1999,0.0285,0.0984,0.0397,0.6817
932,200822622134,0.1338,0.9563,0.0747,0.1033,0.9585,0.1942
933,200822716255,0.1459,0.2094,0.0523,0.1735,0.1825,0.3987
934,200822913147,0.1459,0.116,0.0911,0.0935,0.1659,0.1737
935,200822918293,0.2628,0.2916,0.0406,0.4656,0.1384,0.5674
936,200822918293,0.8545,0.148,0.8884,0.7715,0.1454,0.1272
937,200823718253,0.8532,0.7356,0.0752,0.8739,0.1179,0.8388
938,200823813130,0.7941,0.1298,0.0593,0.8336,0.0795,0.1924
939,200823813293,0.073,0.0216,0.0659,0.0259,0.0231,0.0286
940,200823813293,0.5913,0.6149,0.0747,0.7482,0.7323,0.2496
941,200824119303,0.9476,0.0991,0.9785,0.034,0.0895,0.1036
942,200824119303,0.1603,0.929,0.0593,0.144,0.948,0.1183
943,200824517323,0.2252,0.5054,0.106,0.2375,0.693,0.0281
944,200824517323,0.1432,0.8563,0.0537,0.1158,0.9026,0.2089
945,200824612338,0.1885,0.2934,0.1051,0.1476,0.1022,0.7049
946,200825115256,0.1764,0.2363,0.0556,0.1677,0.1664,0.6116
947,200825216128,0.7113,0.228,0.0079,0.7317,0.269,0.1143
948,200825216128,0.0949,0.2441,0.0817,0.0403,0.4489,0.1125
949,200825920089,0.0931,0.2631,0.0341,0.1261,0.0843,0.5719
950,200826216142,0.1808,0.2497,0.0799,0.1601,0.4559,0.0326
951,200826812140,0.0336,0.0684,0.0434,0.1717,0.1192,0.0536
952,200826812140,0.7189,0.3579,0.057,0.7384,0.4956,0.2616
953,200826921290,0.0962,0.4799,0.0542,0.0657,0.624,0.1875
954,200827039325,0.2422,0.0658,0.6847,0.1382,0.0808,0.1629
955,200827208139,0.1589,0.0904,0.0673,0.1248,0.1153,0.1723
956,200827516245,0.8008,0.5664,0.6632,0.7943,0.2961,0.8929
957,200827516245,0.9503,0.3553,0.9907,0.3256,0.2895,0.4522
958,200827516245,0.2184,0.3059,0.1088,0.2169,0.1585,0.5772
959,200827813261,0.0936,0.1891,0.0495,0.064,0.2035,0.1357
960,200828312271,0.8357,0.0896,0.6259,0.797,0.0638,0.446
961,200828617109,0.1316,0.2354,0.0033,0.1489,0.314,0.075
962,200828715291,0.2449,0.6132,0.8832,0.0514,0.7214,0.1272
963,200829005071,0.0551,0.0861,0.0444,0.114,0.0367,0.1348
964,200829220152,0.1504,0.9671,0.0649,0.1194,0.9633,0.9228
965,200829309060,0.1526,0.1,0.0537,0.1301,0.1162,0.1518
966,200829712255,0.1943,0.1194,0.0682,0.199,0.1258,0.1179
967,200831108128,0.9481,0.103,0.9734,0.8157,0.1074,0.3804
968,200831114278,0.7055,0.2453,0.9468,0.2545,0.2066,0.3205
969,200831711089,0.0439,0.3825,0.0327,0.0577,0.0878,0.7513
970,200831907086,0.9718,0.3436,0.9794,0.8654,0.6009,0.0812
971,200832023146,0.2332,0.9347,0.1135,0.2258,0.948,0.4317
972,200832308089,0.8899,0.9957,0.0747,0.9164,0.2725,0.996
973,200832909082,0.7516,0.2748,0.035,0.7446,0.2148,0.3768
974,200833806092,0.1168,0.1056,0.0687,0.0747,0.0895,0.1125
975,200834316168,0.1338,0.8105,0.0897,0.1346,0.3799,0.8661
976,200834316168,0.1737,0.3544,0.1009,0.1373,0.4057,0.2938
977,200834810077,0.0931,0.1406,0.0304,0.3716,0.1362,0.1482
978,200834810077,0.0895,0.1246,0.0425,0.0657,0.1328,0.1054
979,200835111128,0.7869,0.2553,0.0112,0.7849,0.3153,0.129
980,200835111128,0.7162,0.2497,0.8921,0.5447,0.2,0.3263
981,200835111128,0.1374,0.0775,0.1032,0.0787,0.0555,0.1022
982,200835614138,0.1419,0.1212,0.0743,0.1073,0.1795,0.0232
983,200900813069,0.141,0.6703,0.1397,0.0993,0.7563,0.258
984,200901715059,0.1504,0.9199,0.0509,0.1243,0.9437,0.6531
985,200901720043,0.9714,0.1129,0.9893,0.682,0.1646,0.0808
986,200902417123,0.1195,0.45,0.0565,0.0935,0.3712,0.6036
987,200902512177,0.1352,0.8347,0.0327,0.1829,0.2,0.925
988,200903215071,0.3133,0.0852,0.0813,0.4231,0.09,0.0835
989,200903215071,0.2041,0.148,0.0897,0.1968,0.2376,0.1375
990,200903416126,0.1092,0.8849,0.071,0.0671,0.6271,0.9201
991,200903416126,0.1835,0.1463,0.0911,0.153,0.2419,0.1009
992,200904518174,0.1338,0.7283,0.028,0.1131,0.7987,0.2509
993,200905111075,0.0998,0.0467,0.0472,0.0738,0.0039,0.0991
994,200905910101,0.9123,0.1471,0.979,0.0796,0.2934,0.0875
995,200906413148,0.9799,0.1476,0.9785,0.8502,0.1773,0.0875
996,200906612081,0.7113,0.0753,0.8356,0.5979,0.0266,0.1353
997,200906919204,0.1652,0.2583,0.0887,0.1199,0.3948,0.1491
998,200907410129,0.1571,0.058,0.0901,0.1029,0.0205,0.1147
999,200907410129,0.2372,0.1757,0.113,0.2343,0.3336,0.1112
1000,200907518197,0.1137,0.9208,0.0817,0.0693,0.9406,0.4772
1001,200908216039,0.7959,0.0904,0.9561,0.3649,0.1502,0.008
1002,200909215178,0.1701,0.3116,0.1415,0.136,0.3956,0.2362
1003,200909312062,0.0694,0.0788,0.0145,0.1279,0.0672,0.1384
1004,200910413088,0.9382,0.8023,0.979,0.1413,0.0432,0.9201
1005,200910707133,0.9843,0.437,0.9986,0.8014,0.331,0.7
1006,200910707133,0.8756,0.3401,0.8244,0.8332,0.3939,0.1897
1007,200912113124,0.9266,0.7447,0.978,0.038,0.8122,0.2031
1008,200912113124,0.1786,0.5746,0.0542,0.1762,0.6838,0.2192
1009,200912310111,0.06,0.1134,0.0346,0.0447,0.1131,0.1165
1010,200914317089,0.953,0.99,0.9584,0.8068,0.486,0.9969
1011,200914731285,0.2238,0.8399,0.0943,0.2388,0.4183,0.9196
1012,200916410131,0.859,0.1108,0.9743,0.2522,0.0838,0.2228
1013,200916410131,0.1643,0.9238,0.0836,0.1167,0.9349,0.5384
1014,200916714257,0.1817,0.37,0.0827,0.1682,0.5179,0.2888
1015,200917115264,0.1177,0.0433,0.0448,0.0939,0.0607,0.0223
1016,200917310132,0.1737,0.3574,0.0925,0.229,0.1074,0.7254
1017,200918513260,0.1889,0.1337,0.1046,0.1521,0.1301,0.1897
1018,200918917129,0.2064,0.061,0.1056,0.1932,0.1262,0.0683
1019,200919009254,0.2377,0.5595,0.1098,0.28,0.1083,0.9348
1020,200919411257,0.1947,0.5591,0.0831,0.1914,0.4074,0.7295
1021,200919614129,0.1947,0.0939,0.0976,0.1686,0.2223,0.0201
1022,200921011231,0.2475,0.7408,0.1168,0.2531,0.7655,0.6429
1023,200921316130,0.1061,0.1649,0.049,0.0814,0.1948,0.3567
1024,200921510242,0.2073,0.3492,0.1093,0.1865,0.3755,0.4594
1025,200921513252,0.9557,0.3501,0.9397,0.903,0.1057,0.6951
1026,200921520133,0.2256,0.087,0.8328,0.0872,0.0576,0.1192
1027,200921520133,0.1952,0.9377,0.0967,0.1847,0.907,0.9196
1028,200921919140,0.0255,0.0939,0.1102,0.0174,0.1559,0.0786
1029,200922012246,0.2001,0.1727,0.0976,0.1789,0.2105,0.1384
1030,200922110201,0.1294,0.0402,0.0808,0.0805,0.0445,0.0571
1031,200922209262,0.2099,0.9931,0.1163,0.1914,0.9939,0.8045
1032,200922209262,0.1661,0.1311,0.0565,0.1507,0.0721,0.2982
1033,200922214336,0.2359,0.3206,0.1154,0.2352,0.286,0.5013
1034,200922712328,0.2167,0.6439,0.0845,0.2415,0.6965,0.5545
1035,200922712328,0.2225,1.0,0.0925,0.2397,0.9978,0.9924
1036,200922811163,0.1025,0.0809,0.0374,0.1002,0.0869,0.0692
1037,200922811163,0.2032,0.974,0.0939,0.191,0.9812,0.2344
1038,200923313230,0.1916,0.6621,0.0859,0.1753,0.1764,0.9397
1039,200923313230,0.2265,0.3747,0.1144,0.2174,0.5581,0.1246
1040,200923514252,0.1817,0.0775,0.0733,0.1664,0.1651,0.0228
1041,200923812189,0.141,0.0502,0.0911,0.0935,0.017,0.0991
1042,200923820151,0.0273,0.2099,0.1284,0.0045,0.3969,0.1031
1043,200923910253,0.1007,0.4712,0.0439,0.0778,0.0926,0.7607
1044,200923910253,0.1571,0.1138,0.6296,0.0877,0.0738,0.1536
1045,200923912270,0.1979,0.0714,0.0859,0.2013,0.0904,0.0799
1046,200924612250,0.3268,0.2133,0.0757,0.542,0.4895,0.0616
1047,200924612250,0.1226,0.2921,0.043,0.102,0.2598,0.2808
1048,200924618130,0.8966,0.7971,0.9659,0.0917,0.8445,0.2116
1049,200924719089,0.7739,0.2886,0.0369,0.7885,0.1948,0.492
1050,200925112336,0.9722,0.3708,0.986,0.5291,0.1271,0.7438
1051,200925112336,0.2422,0.4786,0.1163,0.2437,0.4616,0.4701
1052,200925116118,0.1889,0.1069,0.7029,0.1185,0.0096,0.2263
1053,200925414130,0.1952,0.3605,0.0925,0.1802,0.2904,0.6482
1054,200925513155,0.1186,0.0991,0.0565,0.0814,0.1362,0.0415
1055,200925714256,0.12,0.0857,0.0883,0.0653,0.0961,0.0741
