trajectory_id,n_pair_labels,n_normal,n_hybrid,n_uncommon,non_normal_count,non_normal_ratio,hybrid_ratio,uncommon_ratio,dominant_uncommon_node,dominant_uncommon_node_count,dominant_uncommon_node_ratio,fingerprint_entropy,count_uncommon_Acceleration,count_uncommon_Curvature,count_uncommon_Displacement,count_uncommon_Duration,count_uncommon_Extent,count_uncommon_Geometric,count_uncommon_Indentation,count_uncommon_Kinematic,count_uncommon_Localization,count_uncommon_Path_Evolution,count_uncommon_Phase_Change,count_uncommon_Sampling_Gaps,count_uncommon_Sequence_Complexity,count_uncommon_Spatial_Context,count_uncommon_SpatioTemporal_Dynamics,count_uncommon_Speed,count_uncommon_Temporal
2358,76,31,31,14,45,0.5921052631578947,0.40789473684210525,0.18421052631578946,Sequence_Complexity,5,0.35714285714285715,1.938391997383236,2,1,0,0,0,1,3,0,0,0,0,0,5,0,0,0,2
2359,76,22,41,13,54,0.7105263157894737,0.5394736842105263,0.17105263157894737,Localization,4,0.3076923076923077,1.767374680528777,0,0,3,0,2,0,4,0,4,0,0,0,0,0,0,0,0
2360,76,7,61,8,69,0.9078947368421053,0.8026315789473685,0.10526315789473684,Spatial_Context,2,0.25,1.202842486525963,1,0,1,0,1,0,0,0,0,0,0,0,1,2,0,1,1
2361,76,18,38,20,58,0.7631578947368421,0.5,0.2631578947368421,Indentation,5,0.25,2.207018486865841,3,1,0,0,0,3,5,0,3,0,0,0,2,3,0,0,0
2362,76,24,36,16,52,0.6842105263157895,0.47368421052631576,0.21052631578947367,Sequence_Complexity,7,0.4375,1.9510489341567738,0,2,2,0,2,0,3,0,0,0,0,0,7,0,0,0,0
2363,76,10,33,33,66,0.868421052631579,0.4342105263157895,0.4342105263157895,Localization,5,0.15151515151515152,2.788670041909688,4,0,5,0,4,0,4,0,5,4,0,0,4,1,1,0,1
2364,76,13,50,13,63,0.8289473684210527,0.6578947368421053,0.17105263157894737,Phase_Change,5,0.38461538461538464,1.6175569042461215,0,0,0,1,0,0,0,0,2,0,5,0,0,1,0,4,0
2365,76,7,53,16,69,0.9078947368421053,0.6973684210526315,0.21052631578947367,Speed,3,0.1875,1.8171243088306939,1,0,3,1,2,0,0,0,1,1,0,1,0,2,0,3,1
2366,76,9,53,14,67,0.881578947368421,0.6973684210526315,0.18421052631578946,Sampling_Gaps,2,0.14285714285714285,1.693860288380028,2,0,2,2,2,0,0,0,2,2,0,2,0,0,0,0,0
2367,76,22,36,18,54,0.7105263157894737,0.47368421052631576,0.23684210526315788,Localization,6,0.3333333333333333,2.047344017777827,6,1,0,0,0,0,1,2,6,0,0,0,0,0,2,0,0
