trajectory_id,n_pair_labels,n_normal,n_hybrid,n_uncommon,non_normal_count,non_normal_ratio,hybrid_ratio,uncommon_ratio,dominant_uncommon_node,dominant_uncommon_node_count,dominant_uncommon_node_ratio,fingerprint_entropy,count_uncommon_Acceleration,count_uncommon_Curvature,count_uncommon_Displacement,count_uncommon_Duration,count_uncommon_Extent,count_uncommon_Geometric,count_uncommon_Indentation,count_uncommon_Kinematic,count_uncommon_Localization,count_uncommon_Path_Evolution,count_uncommon_Phase_Change,count_uncommon_Sampling_Gaps,count_uncommon_Sequence_Complexity,count_uncommon_Spatial_Context,count_uncommon_SpatioTemporal_Dynamics,count_uncommon_Speed,count_uncommon_Temporal
84,76,46,17,13,30,0.39473684210526316,0.2236842105263158,0.17105263157894737,Sequence_Complexity,4,0.3076923076923077,1.7272601676557122,0,4,0,0,0,1,0,0,0,0,0,0,4,2,2,0,0
85,76,10,42,24,66,0.868421052631579,0.5526315789473685,0.3157894736842105,Speed,5,0.20833333333333334,2.3652868464589054,3,0,0,0,0,0,3,1,3,1,3,0,3,1,1,5,0
86,76,15,53,8,61,0.8026315789473685,0.6973684210526315,0.10526315789473684,Phase_Change,3,0.375,1.3309154340974767,0,0,0,0,2,0,0,0,0,3,3,0,0,0,0,0,0
87,76,39,31,6,37,0.4868421052631579,0.40789473684210525,0.07894736842105263,Path_Evolution,5,0.8333333333333334,1.3621326103901956,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
88,76,51,15,10,25,0.32894736842105265,0.19736842105263158,0.13157894736842105,Speed,4,0.4,1.4334926269347164,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,4,0
89,76,27,44,5,49,0.6447368421052632,0.5789473684210527,0.06578947368421052,Indentation,4,0.8,1.2927044374112864,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0
90,76,27,35,14,49,0.6447368421052632,0.4605263157894737,0.18421052631578946,Extent,5,0.35714285714285715,1.8560699985433924,0,0,0,0,5,0,0,0,3,0,0,0,3,3,0,0,0
91,76,6,60,10,70,0.9210526315789473,0.7894736842105263,0.13157894736842105,Displacement,4,0.4,1.19630631948519,0,0,4,0,2,0,0,0,0,0,2,0,0,0,0,2,0
92,76,31,33,12,45,0.5921052631578947,0.4342105263157895,0.15789473684210525,Extent,6,0.5,1.770167591505263,0,0,0,0,6,0,0,0,0,1,1,0,0,3,0,0,1
93,76,24,35,17,52,0.6842105263157895,0.4605263157894737,0.2236842105263158,Localization,5,0.29411764705882354,2.034859143792635,0,3,0,0,0,0,0,0,5,0,0,0,3,3,0,3,0
94,76,18,49,9,58,0.7631578947368421,0.6447368421052632,0.11842105263157894,Indentation,3,0.3333333333333333,1.5151747846023516,0,3,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0
