rule_id,target_item,target_pair,target_label,antecedent_items,antecedent_length,n_total,n_target,rule_support_count,rule_support_ratio,target_coverage,antecedent_support_count,antecedent_support_ratio,confidence,target_base_rate,lift,growth_rate,growth_rate_status,leverage
R00159,Speed_Dynamics__x__Temporal_Sequential_Context=Uncommon Speed_Dynamics,Speed_Dynamics__x__Temporal_Sequential_Context,Uncommon Speed_Dynamics,Acceleration_Dynamics__x__Temporal_Sequential_Context=Uncommon Acceleration_Dynamics;Speed_Dynamics__x__Turning_Dynamics=Uncommon Speed_Dynamics,2,4670,528,58,0.012419700214132762,0.10984848484848485,68,0.014561027837259101,0.8529411764705882,0.11306209850107066,7.54400623885918,45.499242424242425,finite,0.010773399850519743
R00160,Curvature_Geometry__x__Spatial_Reach_and_Route=Uncommon Curvature_Geometry,Curvature_Geometry__x__Spatial_Reach_and_Route,Uncommon Curvature_Geometry,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Uncommon Acceleration_Dynamics;Curvature_Geometry__x__Turning_Dynamics=Uncommon Curvature_Geometry,2,4670,557,58,0.012419700214132762,0.10412926391382406,68,0.014561027837259101,0.8529411764705882,0.11927194860813704,7.151230330552329,42.82836624775583,finite,0.010682978050245541
R00161,Acceleration_Dynamics__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context,Acceleration_Dynamics__x__Temporal_Sequential_Context,Uncommon Temporal_Sequential_Context,Acceleration_Dynamics__x__Speed_Dynamics=Uncommon Speed_Dynamics;Spatial_Reach_and_Route__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context,2,4670,474,52,0.01113490364025696,0.10970464135021098,61,0.013062098501070664,0.8524590163934426,0.10149892933618844,8.3986995918932,51.14674167838725,finite,0.009809114627514456
R00162,Curvature_Geometry__x__Turning_Dynamics=Uncommon Turning_Dynamics,Curvature_Geometry__x__Turning_Dynamics,Uncommon Turning_Dynamics,Curvature_Geometry__x__Speed_Dynamics=Uncommon Speed_Dynamics;Spatial_Reach_and_Route__x__Turning_Dynamics=Uncommon Turning_Dynamics,2,4670,589,52,0.01113490364025696,0.08828522920203735,61,0.013062098501070664,0.8524590163934426,0.12612419700214134,6.758885579893678,40.03244670816827,finite,0.009487456955646548
R00163,Temporal_Sequential_Context__x__Turning_Dynamics=Uncommon Turning_Dynamics,Temporal_Sequential_Context__x__Turning_Dynamics,Uncommon Turning_Dynamics,Curvature_Geometry__x__Turning_Dynamics=Uncommon Turning_Dynamics;Speed_Dynamics__x__Temporal_Sequential_Context=Uncommon Speed_Dynamics,2,4670,611,52,0.01113490364025696,0.0851063829787234,61,0.013062098501070664,0.8524590163934426,0.13083511777301926,6.51552145099407,38.38297872340426,finite,0.009425922444506601
R00164,Speed_Dynamics__x__Turning_Dynamics=Uncommon Speed_Dynamics,Speed_Dynamics__x__Turning_Dynamics,Uncommon Speed_Dynamics,Acceleration_Dynamics__x__Speed_Dynamics=Uncommon Speed_Dynamics;Curvature_Geometry__x__Turning_Dynamics=Uncommon Curvature_Geometry,2,4670,553,46,0.009850107066381156,0.08318264014466546,54,0.011563169164882228,0.8518518518518519,0.11841541755888652,7.193757953251624,42.807866184448464,finite,0.008480849561417586
R00165,Temporal_Sequential_Context__x__Turning_Dynamics=Uncommon Temporal_Sequential_Context,Temporal_Sequential_Context__x__Turning_Dynamics,Uncommon Temporal_Sequential_Context,Acceleration_Dynamics__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context;Speed_Dynamics__x__Turning_Dynamics=Uncommon Speed_Dynamics,2,4670,626,46,0.009850107066381156,0.07348242811501597,54,0.011563169164882228,0.8518518518518519,0.1340471092077088,6.354869246243048,37.14536741214057,finite,0.008300097666548977
R00166,Acceleration_Dynamics__x__Curvature_Geometry=Uncommon Curvature_Geometry,Acceleration_Dynamics__x__Curvature_Geometry,Uncommon Curvature_Geometry,Acceleration_Dynamics__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context;Curvature_Geometry__x__Turning_Dynamics=Uncommon Curvature_Geometry,2,4670,574,51,0.010920770877944325,0.08885017421602788,60,0.01284796573875803,0.85,0.12291220556745182,6.915505226480836,40.43670150987224,finite,0.00934159907193852
R00167,Curvature_Geometry__x__Temporal_Sequential_Context=Uncommon Curvature_Geometry,Curvature_Geometry__x__Temporal_Sequential_Context,Uncommon Curvature_Geometry,Curvature_Geometry__x__Speed_Dynamics=Uncommon Curvature_Geometry;Spatial_Reach_and_Route__x__Temporal_Sequential_Context=Uncommon Spatial_Reach_and_Route,2,4670,578,51,0.010920770877944325,0.08823529411764706,60,0.01284796573875803,0.85,0.12376873661670236,6.867647058823529,40.11764705882353,finite,0.009330594390363565
R00168,Curvature_Geometry__x__Spatial_Reach_and_Route=Uncommon Spatial_Reach_and_Route,Curvature_Geometry__x__Spatial_Reach_and_Route,Uncommon Spatial_Reach_and_Route,Curvature_Geometry__x__Speed_Dynamics=Uncommon Speed_Dynamics;Spatial_Reach_and_Route__x__Turning_Dynamics=Uncommon Spatial_Reach_and_Route,2,4670,565,79,0.016916488222698072,0.13982300884955753,93,0.019914346895074948,0.8494623655913979,0.12098501070663811,7.021219906746598,40.998103666245264,finite,0.014507150750381724
