rule_id,feature,feature_role,feature_nodes,n_neighbor_pairs,mean_positive_value,mean_counterexample_value,mean_raw_difference,mean_absolute_robust_standardized_difference
R00004,acceleration_vcoef,antecedent_and_target,Acceleration;Kinematic,35,134645324231389.69,21.06870806836055,134645324231368.6,9365565461109.705
R00004,acceleration_quant_median,antecedent_and_target,Acceleration;Kinematic,35,1.4957041365521004e-06,5.783904130892613e-06,-4.288199994340511e-06,3.3999247950320615
R00004,speed_mad,target,Kinematic,35,1.2850004133958586,3.2016185025641954,-1.9166180891683373,2.81302625993744
R00004,acceleration_mean,antecedent_and_target,Acceleration;Kinematic,35,6.160864502968863e-06,2.7999882017565495e-05,-2.183901751459663e-05,2.692661109198495
R00004,speed_iqr,target,Kinematic,35,2.639923620199706,6.400841149498083,-3.760917529298377,2.427720707696006
R00004,speed_progress_slope,antecedent,SpatioTemporal_Dynamics,35,-0.14531731366089887,8.991724726802092,-9.13704204046299,2.096879659957564
R00004,speed_quant_75,target,Kinematic,35,6.268915764586137,11.215014627026658,-4.946098862440521,2.0734533424008434
R00004,speed_quant_90,target,Kinematic,35,7.590053547175138,13.821315092103882,-6.231261544928742,1.9970548641121992
R00004,angle_progress_slope,antecedent,SpatioTemporal_Dynamics,35,1.141244514499107,8.295535580636688,-7.154291066137579,1.9556668709622764
R00004,acceleration_quant_90,antecedent_and_target,Acceleration;Kinematic,35,0.00018529594837978248,0.00026721699368772203,-8.192104530793947e-05,1.9126454710907037
R00004,acceleration_quant_95,antecedent_and_target,Acceleration;Kinematic,35,0.0002595655449233421,0.00036910960799660283,-0.00010954406307326072,1.910589401892134
R00004,acceleration_progress_slope,antecedent,SpatioTemporal_Dynamics,35,-5.8540570282240185e-05,-5.462096991626657e-05,-3.919600365973609e-06,1.899754522088831
R00004,speed_meanse,target,Kinematic,35,0.2747105926220324,0.5336322077066167,-0.2589216150845843,1.87482511310985
R00004,speed_sd,target,Kinematic,35,2.0373082813926704,3.9575223714593295,-1.920214090066659,1.8748251131098495
R00004,acceleration_quant_10,antecedent_and_target,Acceleration;Kinematic,35,-0.00018726039560922322,-0.0001605689292922479,-2.669146631697534e-05,1.842861612414226
R00004,acceleration_quant_min,antecedent_and_target,Acceleration;Kinematic,35,-0.00045321251978046176,-0.00043352800250373244,-1.9684517276729324e-05,1.7605561343021527
R00004,speed_quant_95,target,Kinematic,35,8.722398770911079,14.565783058460475,-5.843384287549398,1.7025514880497425
R00004,speed_mean,target,Kinematic,35,5.110488158108802,8.011228253954295,-2.9007400958454927,1.6642771210822511
R00004,acceleration_quant_05,antecedent_and_target,Acceleration;Kinematic,35,-0.0002587081767934046,-0.0002460209019118931,-1.2687274881511456e-05,1.5925553328622166
R00004,acceleration_meanse,antecedent_and_target,Acceleration;Kinematic,35,2.6241493297817815e-05,2.6040104218552643e-05,2.0138907926516808e-07,1.5763438466812083
R00004,acceleration_sd,antecedent_and_target,Acceleration;Kinematic,35,0.00019461212289440742,0.0001931185815094435,1.4935413849639228e-06,1.5763438466812076
R00004,acceleration_quant_75,antecedent_and_target,Acceleration;Kinematic,35,8.108118003682862e-05,0.00010977178828391398,-2.8690608247085363e-05,1.4663932683367298
R00004,speed_quant_median,target,Kinematic,35,4.9869608618275905,7.4427319258542655,-2.4557710640266737,1.459757092546931
R00004,acceleration_range,antecedent_and_target,Acceleration;Kinematic,35,0.0012365262450407199,0.0010950362092500866,0.00014149003579063326,1.453512308871041
R00004,speed_quant_max,target,Kinematic,35,10.424207843188219,15.261647372994323,-4.837439529806107,1.3876680966201829
R00004,acceleration_mad,antecedent_and_target,Acceleration;Kinematic,35,8.58761032741816e-05,9.349731742071364e-05,-7.621214146532064e-06,1.3493854382780959
R00004,acceleration_quant_max,antecedent_and_target,Acceleration;Kinematic,35,0.0007833137252602582,0.0006615082067463542,0.00012180551851390404,1.320215085592877
R00004,speed_quant_min,target,Kinematic,35,1.6134631188009132,2.1842866542978654,-0.5708235354969519,1.284691678964861
R00004,bbox_area_km2,antecedent_and_target,Spatial_Context,35,1252633.4699404764,3569741.5403234935,-2317108.0703830174,1.2803015477603399
R00004,acceleration_iqr,antecedent_and_target,Acceleration;Kinematic,35,0.00016470774120579457,0.00018387140748417835,-1.916366627838376e-05,1.2684881908154118
R00004,speed_range,target,Kinematic,35,8.810744724387302,13.07736071869646,-4.266615994309156,1.24059765845255
R00004,acceleration_quant_25,antecedent_and_target,Acceleration;Kinematic,35,-8.362656116896597e-05,-7.409961920026438e-05,-9.526941968701611e-06,1.2323143254713294
R00004,speed_quant_25,target,Kinematic,35,3.628992144386432,4.814173477528575,-1.1851813331421432,1.214432566340016
R00004,speed_kurt,target,Kinematic,35,0.3723078593825131,-0.8224155555794042,1.1947234149619173,1.2096062069354299
R00004,acceleration_kurt,antecedent_and_target,Acceleration;Kinematic,35,8.025707131863546,2.2552905349643186,5.770416596899226,1.0456878335070205
R00004,max_distance_to_centroid_m,antecedent_and_target,Spatial_Context,35,1028356.0836253245,1611911.531565387,-583555.447940063,0.9594964235166383
