meta_pattern_id,trajectory_id,required_uncommon_counts,observed_uncommon_counts
MP00003,1332,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,1357,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,1405,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=4
MP00003,1413,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,1416,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=3
MP00003,1437,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=3;Turning_Dynamics=4
MP00003,1460,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,1470,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=1;Turning_Dynamics=3
MP00003,1480,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=3
MP00003,1483,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,1508,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=3;Turning_Dynamics=3
MP00003,1530,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,1547,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00004,8,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=3;Turning_Dynamics=3
MP00004,16,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=1;Turning_Dynamics=4
MP00004,35,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=2;Turning_Dynamics=2
MP00004,60,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=1;Turning_Dynamics=2
MP00004,62,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=2;Turning_Dynamics=2
MP00004,63,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=3;Turning_Dynamics=2
MP00004,67,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=1;Turning_Dynamics=4
MP00004,126,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=3;Turning_Dynamics=3
MP00004,195,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=3;Turning_Dynamics=3
MP00004,199,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=3;Turning_Dynamics=2
MP00004,206,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=3;Turning_Dynamics=2
MP00004,223,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=2;Turning_Dynamics=2
MP00004,250,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=1;Turning_Dynamics=3
MP00004,260,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=3;Turning_Dynamics=3
MP00004,300,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=1;Turning_Dynamics=2
MP00004,324,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=1;Turning_Dynamics=3
MP00004,334,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=1;Turning_Dynamics=4
MP00004,388,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=1;Turning_Dynamics=2
MP00004,431,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=3;Turning_Dynamics=2
MP00004,437,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=2;Turning_Dynamics=3
MP00004,442,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=2;Turning_Dynamics=2
MP00004,443,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=2;Turning_Dynamics=4
MP00004,446,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=1;Turning_Dynamics=2
