trajectory_id,object_id,geometric,kinematic,curvature,indentation,speed,acceleration
1445,316021382,0.2589,0.0957,0.1729,0.3772,0.1363,0.0901
1446,316021382,0.2127,0.0952,0.1696,0.2013,0.1473,0.083
1447,316021382,0.2175,0.1093,0.1754,0.1858,0.1486,0.1073
1448,316021988,0.218,0.1033,0.1644,0.2516,0.1348,0.1055
1449,316021988,0.2073,0.0882,0.174,0.1425,0.1345,0.0783
1450,316021988,0.2162,0.4109,0.1666,0.2408,0.1435,0.8272
1451,316021988,0.2264,0.0736,0.1694,0.2797,0.1463,0.0455
1452,316021988,0.1997,0.1004,0.1655,0.1243,0.1435,0.0927
1453,316021988,0.2096,0.095,0.1688,0.1709,0.1325,0.0869
1454,316021988,0.2335,0.0874,0.1611,0.3405,0.1391,0.0649
1455,316021988,0.2401,0.1046,0.1792,0.3046,0.1376,0.1065
1456,316021988,0.2345,0.0837,0.1702,0.3111,0.1591,0.0356
1457,316021988,0.2177,0.1816,0.1628,0.2734,0.1355,0.7005
1458,316021988,0.2238,0.3942,0.1535,0.3137,0.1304,0.8251
1459,316021988,0.2297,0.1111,0.1716,0.2866,0.1931,0.044
1460,316021988,0.1857,0.0997,0.1628,0.0625,0.1637,0.0568
1461,316021988,0.2675,0.1135,0.1707,0.4114,0.1491,0.1139
1462,316022028,0.5526,0.8497,0.8356,0.1843,0.8064,0.8728
1463,316022036,0.1989,0.1054,0.1672,0.117,0.1425,0.1029
1464,316022036,0.2038,0.0793,0.1609,0.2053,0.1396,0.045
1465,316022036,0.1979,0.0762,0.1598,0.1618,0.1483,0.0421
1466,316022036,0.8255,0.0618,0.9227,0.2785,0.101,0.0071
1467,316022036,0.9098,0.0206,0.8671,0.8914,0.035,0.0393
1468,316022036,0.8633,0.0801,0.8339,0.82,0.1171,0.0725
1469,316022036,0.8793,0.0629,0.8334,0.9385,0.1049,0.0534
1470,316022036,0.8539,0.0,0.835,0.8476,0.0102,0.0
1471,316022036,0.2066,0.2421,0.2242,0.0352,0.7535,0.0154
1472,316022036,0.8864,0.0214,0.8972,0.5937,0.0105,0.0327
1473,316022036,0.7993,0.0266,0.9055,0.4585,0.0532,0.0291
1474,316022036,0.9029,0.0386,0.8912,0.557,0.0138,0.0497
1475,316022036,0.8923,0.0237,0.9345,0.1458,0.0598,0.0147
1476,316022036,0.893,0.0454,0.9271,0.5175,0.0125,0.0691
1477,316022038,0.8938,0.485,0.9611,0.0833,0.0427,0.883
1478,316022038,0.9134,0.9426,0.8641,0.9625,0.9813,0.0259
1479,316022038,0.954,0.9335,0.8857,0.9628,0.921,0.8882
1480,316022038,0.8473,0.0446,0.8997,0.6625,0.0696,0.0351
1481,316022038,0.9212,0.8403,0.9627,0.0643,0.7442,0.8869
1482,316022038,0.8361,0.0837,0.934,0.3309,0.0783,0.0838
1483,316022038,0.8864,0.0754,0.8959,0.5008,0.0307,0.0919
1484,316022038,0.8915,0.0245,0.9463,0.0701,0.0381,0.0309
1485,316022038,0.2147,0.0843,0.1669,0.198,0.133,0.0613
1486,316022038,0.2137,0.0762,0.1776,0.1491,0.1448,0.055
1487,316022038,0.2269,0.0999,0.1729,0.2623,0.1358,0.0995
1488,316022149,0.187,0.1028,0.1663,0.0608,0.1371,0.1024
1489,316022149,0.2137,0.0801,0.1727,0.1706,0.1335,0.0628
1490,316022149,0.2259,0.1038,0.168,0.2843,0.1384,0.1026
1491,316022149,0.1939,0.156,0.1611,0.0967,0.1325,0.6597
1492,316022344,0.8925,0.0472,0.8506,0.9266,0.0693,0.0592
1493,316022344,0.8849,0.0978,0.8506,0.9301,0.1455,0.0576
1494,316022428,0.862,0.0201,0.832,0.7729,0.0233,0.0267
1495,316022498,0.1651,0.0357,0.1598,0.0446,0.0176,0.061
1496,316022498,0.1989,0.101,0.1707,0.0734,0.1379,0.1003
1497,316022498,0.1936,0.1031,0.165,0.0987,0.1386,0.1039
1498,316022498,0.2012,0.1064,0.1622,0.1701,0.1386,0.1076
1499,316022498,0.2081,0.1015,0.1727,0.1253,0.1343,0.0971
1500,316022498,0.2208,0.1044,0.1606,0.2833,0.1348,0.1076
1501,316022498,0.2185,0.0986,0.1691,0.239,0.1379,0.0963
1502,316022498,0.2312,0.1054,0.1674,0.3035,0.1414,0.106
1503,316022498,0.1969,0.0963,0.1716,0.0668,0.1402,0.0901
1504,316022498,0.2147,0.108,0.1666,0.2334,0.1394,0.1097
1505,316022498,0.2053,0.2361,0.1672,0.1792,0.1338,0.778
1506,316022498,0.2289,0.0913,0.1792,0.2491,0.1276,0.0817
1507,316022498,0.1926,0.0984,0.1631,0.0932,0.1335,0.0963
1508,316022498,0.2167,0.0957,0.1724,0.1838,0.1338,0.0924
1509,316023452,0.2541,0.1137,0.1779,0.363,0.1496,0.1128
1510,316023452,0.2259,0.1164,0.1768,0.2342,0.146,0.4173
1511,316023452,0.2383,0.3658,0.1677,0.3435,0.1353,0.823
1512,316023452,0.2081,0.083,0.1622,0.2185,0.1304,0.0717
1513,316023452,0.219,0.0853,0.1702,0.2463,0.1335,0.0759
1514,316023452,0.2309,0.0892,0.1705,0.2967,0.1281,0.0838
1515,316023452,0.2447,0.2956,0.1633,0.3714,0.1368,0.8131
1516,316023452,0.2106,0.1046,0.1699,0.1878,0.1391,0.1058
1517,316023452,0.1837,0.8135,0.1526,0.0939,0.1381,0.8997
1518,316023452,0.2541,0.2447,0.1666,0.3853,0.135,0.7859
1519,316023452,0.2701,0.101,0.1663,0.4066,0.1371,0.0982
1520,316023452,0.1763,0.0994,0.1614,0.0319,0.1652,0.0508
1521,316023452,0.2193,0.1304,0.1573,0.2884,0.1309,0.5558
1522,316023605,0.8618,0.055,0.8457,0.677,0.0565,0.0518
1523,316023605,0.2175,0.072,0.1694,0.2225,0.1402,0.0427
1524,316023605,0.2152,0.0832,0.1694,0.2154,0.1448,0.0539
1525,316023605,0.2266,0.3248,0.1699,0.2732,0.8125,0.0285
1526,316023605,0.2111,0.2638,0.1488,0.297,0.7279,0.0309
1527,316023605,0.2655,0.1096,0.1746,0.3818,0.1486,0.1073
1528,316023605,0.2241,0.1547,0.1762,0.2344,0.1407,0.644
1529,316023605,0.2315,0.0785,0.1691,0.3008,0.1317,0.0615
1530,316023605,0.9263,0.0146,0.9485,0.2752,0.0118,0.0304
1531,316023605,0.9299,0.0843,0.8756,0.9134,0.0726,0.0898
1532,316023605,0.9121,0.0217,0.9452,0.1359,0.0366,0.0246
1533,316023605,0.9002,0.6872,0.9512,0.6175,0.7673,0.0652
1534,316023605,0.9273,0.4127,0.9488,0.0595,0.0926,0.6791
1535,316023605,0.86,0.1268,0.8528,0.8306,0.632,0.0419
1536,316023608,0.2093,0.1033,0.1743,0.121,0.1391,0.1024
1537,316023608,0.1959,0.0934,0.1551,0.1775,0.1358,0.0877
1538,316023608,0.3008,0.1041,0.8723,0.0354,0.1747,0.0079
1539,316023608,0.2579,0.0417,0.6128,0.0466,0.0629,0.0272
1540,316023608,0.2124,0.1111,0.1735,0.1597,0.145,0.1126
1541,316023608,0.8933,0.9956,0.9529,0.1041,0.9903,0.978
1542,316023608,0.4035,0.0391,0.8493,0.0972,0.013,0.0681
1543,316023608,0.2287,0.0981,0.171,0.2835,0.1338,0.0974
1544,316023608,0.5277,0.0522,0.9416,0.0397,0.0696,0.0461
1545,316023608,0.2172,0.1083,0.1639,0.2565,0.1435,0.1089
1546,316023608,0.2376,0.0548,0.2675,0.0851,0.0174,0.0733
1547,316023608,0.1989,0.9922,0.1395,0.2559,0.9463,0.9304
1548,316023608,0.1878,0.0978,0.1694,0.0339,0.1647,0.0531
1549,316023608,0.2002,0.0858,0.1705,0.0884,0.1422,0.0592
1550,316024235,0.888,0.0151,0.8517,0.9154,0.0176,0.0233
1551,316024235,0.8331,0.0811,0.8457,0.7947,0.5476,0.0607
1552,316024235,0.9385,0.037,0.9381,0.821,0.0545,0.049
1553,316024235,0.8631,0.0882,0.8476,0.8775,0.0125,0.5288
1554,316024235,0.8582,0.0511,0.8841,0.2873,0.0266,0.0542
1555,316024235,0.0526,0.0386,0.0658,0.0603,0.0427,0.0482
1556,316024235,0.8168,0.0295,0.8041,0.479,0.0061,0.0414
1557,316024235,0.8432,0.0068,0.8312,0.4957,0.0164,0.0128
1558,316024235,0.9527,0.0637,0.8739,0.9658,0.09,0.067
1559,316024235,0.8468,0.0472,0.8202,0.7592,0.0752,0.0356
1560,316024411,0.7762,0.0172,0.9241,0.3329,0.0118,0.0296
1561,316024411,0.9146,0.0394,0.9567,0.242,0.0647,0.0314
1562,316024411,0.8773,0.0318,0.9542,0.2405,0.0013,0.0505
1563,316024578,0.3097,0.9468,0.1724,0.697,0.9711,0.4435
1564,316024578,0.2815,1.0,0.1576,0.9096,0.9788,1.0
1565,316024578,0.217,0.1208,0.1757,0.5689,0.1335,0.1285
1566,316024578,0.2871,0.9922,0.1685,0.6797,0.9893,0.9832
