trajectory_id,object_id,geometric,kinematic,curvature,indentation,speed,acceleration
479,256,0.9896,0.0513,0.9826,0.8874,0.0301,0.5349
480,256,0.1908,0.1481,0.3039,0.1618,0.1498,0.1339
481,256,0.1566,0.0327,0.1043,0.3333,0.0218,0.0917
482,256,0.078,0.0424,0.1315,0.1036,0.0617,0.1055
483,256,0.1715,0.1763,0.189,0.2532,0.1988,0.0466
484,256,0.0846,0.1332,0.1156,0.1285,0.1325,0.1252
485,256,0.4863,0.1235,0.2948,0.6077,0.1386,0.0924
486,256,0.291,0.0878,0.0726,0.4641,0.0791,0.1266
487,256,0.9592,0.4263,0.9811,0.48,0.3908,0.6346
488,256,0.0906,0.09,0.1262,0.1036,0.0768,0.1441
489,256,0.1485,0.1287,0.1746,0.1701,0.116,0.1317
490,257,0.6956,0.1295,0.6183,0.6553,0.1378,0.107
491,257,0.0958,0.1853,0.124,0.1822,0.1883,0.1703
492,257,0.0928,0.6458,0.1111,0.1383,0.6649,0.3122
493,257,0.15,0.2366,0.062,0.2918,0.311,0.0146
494,257,0.0334,0.2396,0.028,0.1285,0.2643,0.2263
495,257,0.1856,0.1414,0.3182,0.1187,0.1461,0.1186
496,257,0.1804,0.1696,0.1255,0.322,0.183,0.0895
497,257,0.6214,0.067,0.8337,0.3741,0.0745,0.059
498,257,0.7817,0.0692,0.836,0.5163,0.0813,0.0466
499,257,0.3927,0.1109,0.1527,0.5964,0.1047,0.1012
500,257,0.2339,0.0484,0.2305,0.2804,0.1092,0.0466
501,257,0.8107,0.7262,0.9607,0.4089,0.7056,0.7831
502,257,0.1663,0.3638,0.0476,0.4308,0.4179,0.2518
503,257,0.853,0.9174,0.9834,0.2804,0.9142,0.8108
504,257,0.2665,0.1436,0.4785,0.1746,0.1476,0.1004
505,257,0.046,0.1868,0.1134,0.0348,0.2078,0.1004
506,257,0.095,0.0997,0.1066,0.1293,0.1152,0.1739
507,257,0.2487,0.2984,0.059,0.4943,0.3901,0.1223
508,257,0.026,0.1622,0.0522,0.0348,0.1928,0.1601
